ChurchName,ConferenceName
International Seventh-day Adventist Company,Rocky Mountain Conference
Intervale Spanish Seventh-day Adventist Church,Greater New York Conference
Inverness Seventh-day Adventist Church,Florida Conference
Inverness Spanish Seventh-day Adventist Company,Florida Conference
Invitation Hill Adventist Church,Dakota Conference
Inwood Seventh-day Adventist Group,Chesapeake Conference
Iola Seventh-day Adventist Church,Kansas-Nebraska Conference
Ione Adventist Church,Upper Columbia Conference
Ionia Seventh-day Adventist Church,Michigan Conference
Iowa City Hispanic Group,Iowa-Missouri Conference
Iowa City Seventh-day Adventist Church,Iowa-Missouri Conference
Iqaluit Seventh-day Adventist Group,Manitoba-Saskatchewan Conference
Irmo Fellowship Seventh-day Adventist Company,Carolina Conference
Iron Bridge Adventist Church,Ontario Conference
Iron Mountain Seventh-day Adventist Church,Michigan Conference
Iron River Seventh-day Adventist Church,Michigan Conference
Irons Seventh-day Adventist Church,Michigan Conference
Irrigon Adventist Church,Upper Columbia Conference
Irving Living Springs Seventh-day Adventist Church,Texas Conference
Irving Seventh-day Adventist Church,Texas Conference
Irving Spanish Emanuel Seventh-day Adventist Church,Texas Conference
Irving Spanish Seventh-day Adventist Church,Texas Conference
Irvington Seventh-day Adventist Church,Indiana Conference
Irvington Spanish Seventh-day Adventist Church,New Jersey Conference
Islamorada Spanish (Mission Group),Florida Conference
Ithaca Seventh-day Adventist Church,Michigan Conference
Ithaca Seventh-day Adventist Church,New York Conference
Jackson Company,Kentucky-Tennessee Conference
Jackson County Adventist Group,Gulf States Conference
Jackson Heights Seventh-day Adventist Church,Greater New York Conference
Jackson Hispanic Seventh-day Adventist Church,Gulf States Conference
Jackson Seventh-day Adventist Church,Gulf States Conference
Jackson Seventh-day Adventist Church,Kentucky-Tennessee Conference
Jackson Seventh-day Adventist Church,Michigan Conference
Jackson Seventh-day Adventist Church,Ohio Conference
Jackson Summit Seventh-day Adventist Church,Lake Region Conference
Jacksonville - Calvary Seventh-day Adventist Church,South Atlantic Conference
Jacksonville Brazilian Seventh-day Adventist Company,Florida Conference
Jacksonville First Seventh-day Adventist Church,Florida Conference
Jacksonville Hispanic Seventh-day Adventist Group,Carolina Conference
Jacksonville Myanmar Seventh-day Adventist Company,Florida Conference
Jacksonville Seventh-day Adventist Church,Carolina Conference
Jacksonville Southpoint Seventh-day Adventist Church,Florida Conference
Jacksonville Spanish Seventh-day Adventist Church,Florida Conference
Jacksonville Spanish Seventh-day Adventist Church,Texas Conference
Jamaica Hispanic Seventh-day Adventist Church,Northeastern Conference
Jamaica Plain Spanish Seventh-day Adventist Church,Southern New England Conference
Jamaica Seventh-day Adventist Church,Northeastern Conference
Jamestown Adventist Church,Dakota Conference
Jamestown Church,Kentucky-Tennessee Conference
Jamestown Seventh-day Adventist Church,Georgia-Cumberland Conference
Jamestown Seventh-day Adventist Church,New York Conference
Jasper Georgia Seventh-day Adventist Church,Georgia-Cumberland Conference
Jasper Hispanic Mission Group,Indiana Conference
Jasper Tennessee Seventh-day Adventist Church,Georgia-Cumberland Conference
Jax LifePoint Christian Fellowship,Florida Conference
Jay Seventh-day Adventist Church,Oklahoma Conference
Jefferson Academy Seventh-day Adventist Church,Texas Conference
Jefferson Avenue Seventh-day Adventist Church,Northeastern Conference
Jefferson Central Seventh-day Adventist Church,Texas Conference
Jefferson City Hispanic Seventh-day Adventist Company,Georgia-Cumberland Conference
Jefferson City Seventh-day Adventist Church,Iowa-Missouri Conference
Jeffersonville Seventh-day Adventist Church,Indiana Conference
Jehova Jireh Spanish Company,Allegheny East Conference
Jellico Seventh-day Adventist Church,Georgia-Cumberland Conference
Jennings Lake Seventh-day Adventist Church,Florida Conference
Jerome Spanish Seventh-day Adventist Company,Idaho Conference
Jersey City Heights Seventh-day Adventist Church,New Jersey Conference
Jersey City Heights Spanish SDA,New Jersey Conference
Jersey City Spanish Seventh-day Adventist Church,New Jersey Conference
Jerusalem Adventist Ministry,South Central Conference
Jerusalem French Adventist Church,Allegheny East Conference
Jerusalem French Seventh-day Adventist Church,Southeastern Conference
Jerusalem French Seventh-day Adventist Church,Greater New York Conference
Jerusalem French Seventh-day Adventist Church (Lake Worth),Southeastern Conference
Jerusalem Haitian (Haines City),Southeastern Conference
Jerusalem Haitian Seventh-day Adventist Church,Southern New England Conference
Jerusalem Hispanic Seventh-day Adventist Church,Northeastern Conference
Jerusalem Seventh-day Adventist Company,Florida Conference
Jerusalen Spanish Seventh-day Adventist Church,South Central Conference
"Jesup Seventh-day Adventist Company(Jesup, GA)",Southeastern Conference
Jesus First Seventh-day Adventist Church,Gulf States Conference
Jesus Is The Way Seventh-day Adventist Church,South Central Conference
John Day Seventh-day Adventist Church,Idaho Conference
Johns Island Spanish Seventh-day Adventist Company,Carolina Conference
Johnson City Hispanic Seventh-day Adventist Company,Georgia-Cumberland Conference
Johnson City Seventh-day Adventist Church,Georgia-Cumberland Conference
Johnston - Johnston Seventh-day Adventist Church,South Atlantic Conference
Johnston Seventh-day Adventist Church,Southern New England Conference
Johnstown Seventh-day Adventist Church,Pennsylvania Conference
Joliet Hispanic Seventh-day Adventist Church,Illinois Conference
Joliet Seventh-day Adventist Church,Illinois Conference
Jonesboro AR Seventh-day Adventist Church,Arkansas-Louisiana Conference
Jonesboro AR Spanish Seventh-day Adventist Group,Arkansas-Louisiana Conference
Jonesboro LA Seventh-day Adventist Church,Arkansas-Louisiana Conference
Joplin Seventh-day Adventist Church,Iowa-Missouri Conference
Jordan Street Seventh-day Adventist Church (Pensacola),South Central Conference
Joshua Crossroads Fellowship Seventh-day Adventist Church,Texas Conference
Joshua Seventh-day Adventist Church,Texas Conference
Joshua Spanish Koinonia Church,Texas Conference
Journey Adventist Church,Oregon Conference
Journey Fellowship Seventh-day Adventist Group,South Central Conference
Journey Seventh-day Adventist Church,Southern California Conference
Joy of Life Simple Home Church,Pennsylvania Conference
Joy of Troy Seventh-day Adventist Church,New York Conference
Juan de Fuca Seventh-day Adventist Church,British Columbia Conference
Junction City Seventh-day Adventist Church,Kansas-Nebraska Conference
Junction City Seventh-day Adventist Church,Oregon Conference
Juneau Seventh-day Adventist Church,Alaska Conference
Juniata Hispanic Seventh-day Adventist Church,Pennsylvania Conference
Jupiter - Tequesta Seventh-day Adventist Church,Florida Conference
Jupiter Spanish Seventh-day Adventist Church,Florida Conference
Kahoka Seventh-day Adventist Church,Iowa-Missouri Conference
Kahului Seventh-day Adventist Church,Hawaii Conference
Kailua Seventh-day Adventist Church,Hawaii Conference
Kalamazoo Countryside Seventh-day Adventist Church,Michigan Conference
Kalamazoo Filipino  Seventh-day Adventist Company,Michigan Conference
Kalamazoo Korean Seventh-day Adventist  Company,Michigan Conference
Kalamazoo Seventh-day Adventist Church,Michigan Conference
Kalamazoo Spanish  Seventh-day Adventist Church,Michigan Conference
Kalamazoo Trinity Temple Seventh-day Adventist Church,Lake Region Conference
Kaleo Seventh-day Adventist Church,Southern California Conference
Kalispell Adventist Church,Montana Conference
Kalkaska Seventh-day Adventist Church,Michigan Conference
Kamiah Adventist Church,Upper Columbia Conference
Kamloops Seventh-day Adventist Church,British Columbia Conference
Kanata Adventist Company,Ontario Conference
Kaneohe Seventh-day Adventist Church,Hawaii Conference
Kanisa Fellowship Adventist Church,Ontario Conference
Kannapolis Harvest Seventh-day Adventist Mission Group,Carolina Conference
Kansas City Central Seventh-day Adventist Church,Iowa-Missouri Conference
Kansas City Chapel Oaks Seventh-day Adventist Church,Kansas-Nebraska Conference
Kansas City Ethiopian Seventh-day Adventist Church,Central States Conference
Kansas City Latin-American Seventh-day Adventist Church,Iowa-Missouri Conference
Kansas City New Haven Seventh-day Adventist Church,Kansas-Nebraska Conference
Kansas City Ububyutse Seventh-day Adventist Group,Iowa-Missouri Conference
Kapaa Seventh-day Adventist Church,Hawaii Conference
Kapolei Samoa-Tonga Seventh-day Adventist Church,Hawaii Conference
Kapolei Seventh-day Adventist Group,Hawaii Conference
Karlstad Seventh-day Adventist Church,Minnesota Conference
Katy - Adventista del Septimo Dia La Voz,Southwest Region Conference
Katy Bear Creek Spanish Seventh-day Adventist Church,Texas Conference
Katy Seventh-day Adventist Church,Texas Conference
Katy Spanish Church,Southwest Region Conference
Katy Spanish Cinco Ranch Seventh-day Adventist Church,Texas Conference
Kayenta Seventh-day Adventist Church,Nevada-Utah Conference
Kearney Seventh-day Adventist Church,Kansas-Nebraska Conference
Keene Seventh-day Adventist Church,Northern New England Conference
Keene Seventh-day Adventist Church,Texas Conference
Keene Spanish Seventh-day Adventist Church,Texas Conference
Keller Come & See Seventh-day Adventist Church,Texas Conference
Kelowna Seventh-day Adventist Church,British Columbia Conference
Kelso-Longview Spanish Seventh-day Adventist Group,Oregon Conference
Kemp Spanish Seventh-day Adventist Church,Texas Conference
Kendall Seventh-day Adventist Church,Florida Conference
Kendall Spanish Seventh-day Adventist Church,Florida Conference
Kendalwood Adventist Church,Ontario Conference
Kenmore Spanish Church,Washington Conference
Kennesaw - Mount Pisgah Seventh-day Adventist Church,South Atlantic Conference
Kennesaw Remnant Seventh-day Adventist MG,Georgia-Cumberland Conference
Kennett Square Hispanic Seventh-day Adventist Church,Pennsylvania Conference
Kennewick Adventist Church,Upper Columbia Conference
Kennewick Spanish Adventist Church,Upper Columbia Conference
Kenosha Seventh-day Adventist Company,Wisconsin Conference
Kent Russian Adventist Group,Washington Conference
Kent Seventh-day Adventist Church,Washington Conference
Kent Spanish Seventh-day Adventist Church,Washington Conference
Kentwood Seventh-day Adventist Church,Michigan Conference
Kenyan Community Seventh-day Adventist Church,Minnesota Conference
Kenyan Seventh-day Adventist Fellowship Group,Arizona Conference
Kerith Seventh-day Adventist Church,Northeastern Conference
Kerman Seventh-day Adventist Church,Central California Conference
Kern River Valley Seventh-day Adventist Church,Central California Conference
Kernersville Seventh-day Adventist Church,Carolina Conference
Kerrville Seventh-day Adventist Church,Texas Conference
Ketchikan Seventh-day Adventist Church,Alaska Conference
Ketchum Seventh-day Adventist Church,Oklahoma Conference
Kettering Seventh-day Adventist Church,Ohio Conference
Kettle Falls Adventist Church,Upper Columbia Conference
Kettle Valley Seventh-day Adventist Company,British Columbia Conference
Key Largo Seventh-day Adventist Church,Florida Conference
Kihei Seventh-day Adventist Church,Hawaii Conference
Killeen New Hope Seventh-day Adventist Church,Southwest Region Conference
Killeen Seventh-day Adventist Church,Texas Conference
Killeen Spanish Seventh-day Adventist Church,Texas Conference
Kilmarnock Seventh-day Adventist Church,Potomac Conference
Kimberling City Seventh-day Adventist Church,Iowa-Missouri Conference
Kinderhook Seventh-day Adventist Church,Greater New York Conference
King City Seventh-day Adventist Group,Central California Conference
Kingfield Seventh-day Adventist Mission Group,Kentucky-Tennessee Conference
Kingman Seventh-day Adventist Church,Arizona Conference
Kings Mountain Hispanic Mission Group,Carolina Conference
Kingsboro Temple Seventh-day Adventist Church,Northeastern Conference
Kingsbury Seventh-day Adventist Church,New York Conference
Kingsport Seventh-day Adventist Church,Georgia-Cumberland Conference
Kingston Adventist Church,Ontario Conference
Kingston Seventh-day Adventist Church,Greater New York Conference
Kingston Seventh-day Adventist Church,Northeastern Conference
Kingston Spanish Seventh-day Adventist Company,Greater New York Conference
Kingsville Adventist Church,Iowa-Missouri Conference
Kingsville Spanish Mission Group,Texas Conference
Kingwood Seventh-day Adventist Church,Mountain View Conference
Kingwood Spanish Seventh-day Adventist Church,Texas Conference
Kinlichee Seventh-day Adventist Company,Arizona Conference
Kinston - Gethsemane Seventh-day Adventist Church,South Atlantic Conference
Kinston Seventh-day Adventist Church,Carolina Conference
Kirkland Seventh-day Adventist Church,Washington Conference
Kirksville Seventh-day Adventist Church,Iowa-Missouri Conference
Kissimmee Seventh-day Adventist Church,Florida Conference
Kissimmee Spanish Seventh-day Adventist Church,Florida Conference
Kitchener-Waterloo Adventist Church,Ontario Conference
Klamath Falls Seventh-day Adventist Church,Oregon Conference
Knox Seventh-day Adventist Church,Indiana Conference
Knoxville First Seventh-day Adventist Church,Georgia-Cumberland Conference
Knoxville Grace Seventh-day Adventist Church,Georgia-Cumberland Conference
Knoxville Hispanic Seventh-day Adventist Church,Georgia-Cumberland Conference
Knoxville Seventh-day Adventist Church,Iowa-Missouri Conference
Kodiak Seventh-day Adventist Church,Alaska Conference
Kohala Seventh-day Adventist Church,Hawaii Conference
Kokomo Seventh-day Adventist Church,Indiana Conference
Kona Hispanic Seventh-day Adventist Church,Hawaii Conference
Kona Seventh-day Adventist Church,Hawaii Conference
Konnarock Seventh-day Adventist Church,Potomac Conference
Korean Seventh-day Adventist Church,Hawaii Conference
Kress Memorial Seventh-day Adventist Church,Florida Conference
Kuna Seventh-day Adventist Church,Idaho Conference
Kurtistown Samoan Seventh-day Adventist Church,Hawaii Conference
Kushite Seventh-day Adventist Mission,Central States Conference
Kyle Central Texas Seventh-day Adventist Mission Group,Texas Conference
Kyle Spanish Seventh-day Adventist Church,Texas Conference
L.E.G.I.T Simple Home Church,Pennsylvania Conference
La Amistad Spanish Seventh-day Adventist Company,Southern California Conference
La Crosse Seventh-day Adventist Church,Wisconsin Conference
La Crosse Seventh-day Adventist Church,Kansas-Nebraska Conference
La Esperanza,Allegheny West Conference
La Esperanza Church,Southwest Region Conference
La Esperanza Spanish Seventh-day Adventist Church,Southeastern Conference
La Esperanza Spanish Seventh-day Adventist Church,New Jersey Conference
La Feria Spanish Mission Group,Texas Conference
La Fontaine - Église Adventiste,Quebec Conference
La Gran Esperanza,Southwest Region Conference
La Gran Esperanza Hispanic Seventh-day Adventist Church,Ohio Conference
La Gran Esperanza Spanish Seventh-day Adventist Church,Greater New York Conference
La Grande Seventh-day Adventist Church,Idaho Conference
La Grange Hispanic Seventh-day Adventist Company,Kentucky-Tennessee Conference
La Grange Seventh-day Adventist Church,Texas Conference
La Grange-Brookfield Seventh-day Adventist Church,Illinois Conference
La Habra Spanish Church,Southeastern California Conference
La Mesa Adventist Community Church,Southeastern California Conference
La Mision Seventh-day Adventist Company(Kissimmee),Southeastern Conference
La Nueva Esperanza,Allegheny West Conference
La Paz Spanish Seventh-day Adventist Company,Greater New York Conference
La Pine Seventh-day Adventist Church,Oregon Conference
La Porte Seventh-day Adventist Church,Indiana Conference
La Primera Fe Seventh-day Adventist Mission Church,Ohio Conference
La Puente Spanish Seventh-day Adventist Church,Southern California Conference
La Sierra Spanish Seventh-day Adventist Church,Southeastern California Conference
La Sierra University Seventh-day Adventist Church,Southeastern California Conference
La Victoria Spanish Seventh-day Adventist Church,New Jersey Conference
La Vida Mission Seventh-day Adventist Church,Rocky Mountain Conference
La Voz Sylmar Spanish Seventh-day Adventist Church,Southern California Conference
Lacey Seventh-day Adventist Church,Washington Conference
Lacombe Community Seventh-day Adventist Church,Alberta Conference
Laconia Seventh-day Adventist Church,Northern New England Conference
Ladd Springs Seventh-day Adventist Church,Georgia-Cumberland Conference
Lady Lake Seventh-day Adventist Church,Florida Conference
Lafayette Hispanic Seventh-day Adventist Mission Group,Kentucky-Tennessee Conference
Lafayette Seventh-day Adventist Church,Indiana Conference
Lafayette Seventh-day Adventist Church,New Jersey Conference
Lafayette Seventh-day Adventist Church,Arkansas-Louisiana Conference
Lafayette Spanish Seventh-day Adventist Company,Arkansas-Louisiana Conference
LaFollette Seventh-day Adventist Church,Georgia-Cumberland Conference
LaGrange - Mount Zion Seventh-day Adventist Church,South Atlantic Conference
LaGrange - Trinity Seventh-day Adventist Church,South Atlantic Conference
LaGrange Hispanic Seventh-day Adventist Company,Georgia-Cumberland Conference
LaGrange Seventh-day Adventist Church,Georgia-Cumberland Conference
LaGrange Seventh-day Adventist Company,Kentucky-Tennessee Conference
Laguna Indonesian Seventh-day Adventist Church,Southeastern California Conference
Laguna Niguel Seventh-day Adventist Church,Southeastern California Conference
Lahaina Seventh-day Adventist Church,Hawaii Conference
Lake Buena Vista Spanish SDA,Southeastern Conference
Lake Charles Seventh-day Adventist Church,Arkansas-Louisiana Conference
Lake City - New Life Seventh-day Adventist Church,South Atlantic Conference
Lake City  Seventh-day Adventist Church,Michigan Conference
Lake City Seventh-day Adventist Church,Florida Conference
Lake City Spanish Seventh-day Adventist Church,Florida Conference
Lake Elsinore Spanish Company,Southeastern California Conference
Lake Havasu City Seventh-day Adventist Church,Arizona Conference
Lake Nelson Seventh-day Adventist Church,New Jersey Conference
Lake of the Ozarks Seventh-day Adventist Church,Iowa-Missouri Conference
Lake of the Woods Seventh-day Adventist Church,Minnesota Conference
Lake of the Woods Seventh-day Adventist Church,Southern California Conference
Lake Placid Seventh-day Adventist Church,Florida Conference
Lake Wales Seventh-day Adventist Church,Florida Conference
Lake Worth Spanish Seventh-day Adventist Church,Florida Conference
Lakeland Seventh-day Adventist Church,Florida Conference
Lakeland Seventh-day Adventist Church,Wisconsin Conference
Lakeland Spanish Seventh-day Adventist Church,Florida Conference
Lakeland Spanish Seventh-day Adventist Church,Southeastern Conference
Lakeport Seventh-day Adventist Church,Northern California Conference
Lakes Area Seventh-day Adventist Church,Minnesota Conference
Lakes Area Seventh-day Adventist Company,Michigan Conference
Lakes District Seventh-day Adventist Company,British Columbia Conference
Lakes Region Seventh-day Adventist Church,Northern New England Conference
Lakeside Spanish Seventh-day Adventist Company,Oklahoma Conference
Lakeview Ghanaian Seventh-day Adventist Church,Southern New England Conference
Lakeview Hispanic Seventh-day Adventist Church,Illinois Conference
Lakeview Seventh-day Adventist Church,Florida Conference
Lakeview Seventh-day Adventist Church,Georgia-Cumberland Conference
Lakeview Seventh-day Adventist Church,Illinois Conference
Lakeview Seventh-day Adventist Church,Michigan Conference
Lakeview Seventh-day Adventist Church,Oregon Conference
Lakewood Fellowship of SDA,Rocky Mountain Conference
Lakewood Hispanic Seventh-day Adventist Company,Washington Conference
Lakewood Seventh-day Adventist Church,Ohio Conference
Lakewood Spanish Seventh-day Adventist Church,New Jersey Conference
Lamar Seventh-day Adventist Church,Iowa-Missouri Conference
Lamar Seventh-day Adventist Church,Rocky Mountain Conference
Lamont Spanish Seventh-day Adventist Church,Central California Conference
Lanai Seventh-day Adventist Group,Hawaii Conference
Lancaster Brazilian Seventh-day Adventist Church,Southern New England Conference
Lancaster Hispanic II Seventh-day Adventist Church,Pennsylvania Conference
Lancaster Hispanic Seventh-day Adventist Church,Pennsylvania Conference
Lancaster Hispanic Seventh-day Adventist Mission Group,Carolina Conference
Lancaster Seventh-day Adventist Church,Kentucky-Tennessee Conference
Lancaster Seventh-day Adventist Church,Pennsylvania Conference
Lancaster Seventh-day Adventist Church,Ohio Conference
Lancaster Seventh-day Adventist Church,Southern California Conference
Lancaster Seventh-day Adventist Church,Wisconsin Conference
Lancaster Spanish Seventh-day Adventist Church,Southern California Conference
Lander Seventh-day Adventist Church,Rocky Mountain Conference
Landmark Spanish Seventh-day Adventist Church,Potomac Conference
Landover Hills Spanish Seventh-day Adventist Company,Potomac Conference
Lanett Hispanic Seventh-day Adventist Church,Gulf States Conference
Lansdale Seventh-day Adventist Church,Pennsylvania Conference
L'Anse Seventh-day Adventist Company,Michigan Conference
Lansing Bethel Kinyarwanda Seventh-day Adventist Church,Lake Region Conference
Lansing Bethel Seventh-day Adventist Church,Lake Region Conference
Lansing Seventh-day Adventist Church,Michigan Conference
Lansing Spanish Seventh-day Adventist Church,Michigan Conference
Lapeer  Seventh-day Adventist Church,Michigan Conference
Laramie Seventh-day Adventist Church,Rocky Mountain Conference
Laredo Seventh-day Adventist Church,Texas Conference
Laredo Spanish Mines Seventh-day Adventist Church,Texas Conference
Laredo Spanish North Seventh-day Adventist Church,Texas Conference
Laredo Spanish South Seventh-day Adventist Church,Texas Conference
Laredo Spanish Tres Angeles Seventh-day Adventist Church,Texas Conference
Las Colinas Seventh-day Adventist Church,Texas Conference
Las Cruces Central Seventh-day Adventist Church,Texico Conference
Las Cruces Spanish Seventh-day Adventist Church,Texico Conference
Las Vegas Abundant Life Seventh-day Adventist Church,Nevada-Utah Conference
Las Vegas Bilingual Seventh-day Adventist Church,Texico Conference
Las Vegas Korean Seventh-day Adventist Church,Nevada-Utah Conference
LaSalle New Life Seventh-day Adventist Church,Quebec Conference
Lath. Vill. Community Fellow. Seventh-day Adventist Church,Lake Region Conference
Lauderhill Seventh-day Adventist Church,Florida Conference
Laurel Bethel Hispanic Seventh-day Adventist Church,Gulf States Conference
Laurel Lake Seventh-day Adventist Church,Pennsylvania Conference
Laurel Maranatha Spanish  Church,Chesapeake Conference
Laurel Seventh-day Adventist Church,Gulf States Conference
Laurelbrook Academy Seventh-day Adventist Church,Georgia-Cumberland Conference
Laurelwood Seventh-day Adventist Church,New Jersey Conference
Laurelwood Seventh-day Adventist Church,Oregon Conference
Laurinburg - Mt Olive Seventh-day Adventist Church,South Atlantic Conference
Laval-Est - Église Adventiste,Quebec Conference
Laval-Ouest - Église Adventiste,Quebec Conference
Laveen Spanish Seventh-day Adventist Group,Arizona Conference
Lawai Valley Seventh-day Adventist Church,Hawaii Conference
Lawndale Hispanic Seventh-day Adventist Church,Pennsylvania Conference
Lawrence Hispanic Seventh-day Adventist Church,Indiana Conference
Lawrence Hispanic Seventh-day Adventist Church,Northeastern Conference
Lawrence Seventh-day Adventist Church,Kansas-Nebraska Conference
Lawrence Spanish Seventh-day Adventist Church,Southern New England Conference
Lawrenceburg Seventh-day Adventist Church,Kentucky-Tennessee Conference
Lawrenceburg Seventh-day Adventist Church,Kentucky-Tennessee Conference
Lawrenceville - Mitspa French Seventh-day Adventist Church,South Atlantic Conference
Lawrenceville Central Hisp Seventh-day Adventist Church,Georgia-Cumberland Conference
Lawrenceville Hispanic Seventh-day Adventist Company,South Atlantic Conference
Lawrenceville Morija Seventh-day Adventist Church,Georgia-Cumberland Conference
Lawrenceville Seventh-day Adventist Company,Georgia-Cumberland Conference
Lawton Seventh-day Adventist Church,Oklahoma Conference
Lawton Spanish Seventh-day Adventist Group,Oklahoma Conference
Le Center Seventh-day Adventist Church,Minnesota Conference
Le Phare Seventh-day Adventist Church,Northeastern Conference
Leach Seventh-day Adventist Church,Kentucky-Tennessee Conference
Leadville Seventh-day Adventist Church,Rocky Mountain Conference
Leamington Adventist Church,Ontario Conference
Leamington Spanish Adventist Group,Ontario Conference
Leavenworth Adventist Church,Upper Columbia Conference
Leavenworth All Nations Seventh-day Adventist Church,Kansas-Nebraska Conference
Lebanon Hispanic Seventh-day Adventist Church,Kentucky-Tennessee Conference
Lebanon Seventh-day Adventist Church,Northeastern Conference
Lebanon Seventh-day Adventist Church,Oregon Conference
Lebanon Seventh-day Adventist Church,Pennsylvania Conference
Lebanon Seventh-day Adventist Church,Kentucky-Tennessee Conference
Lebanon Seventh-day Adventist Church,Iowa-Missouri Conference
Lebanon Spanish Company,Allegheny East Conference
Leduc Seventh-day Adventist Church,Alberta Conference
Lee Memorial Seventh-day Adventist Church (West Point),South Central Conference
Lee's Summit Seventh-day Adventist Church,Iowa-Missouri Conference
Leesburg Seventh-day Adventist Church,Potomac Conference
Leesburg Seventh-day Adventist Church,Florida Conference
Leesburg Spanish Seventh-day Adventist Church,Potomac Conference
Leesburg Spanish Seventh-day Adventist Company,Florida Conference
Lehigh Acres Seventh-day Adventist Church,Florida Conference
Lehigh Acres Spanish Seventh-day Adventist Company,Florida Conference
Lehigh Mission,Allegheny East Conference
Lehigh Valley Hispanic Seventh-day Adventist Church,Pennsylvania Conference
Lehr Adventist Church,Dakota Conference
Leitchfield Seventh-day Adventist Church,Kentucky-Tennessee Conference
Lemoore Seventh-day Adventist Church,Central California Conference
Lena Seventh-day Adventist Church,Wisconsin Conference
Lenoir City Hispanic Seventh-day Adventist MG,Georgia-Cumberland Conference
Lenoir City Seventh-day Adventist Church,Georgia-Cumberland Conference
Lenoir Hispanic Mission Group,Carolina Conference
Lenoir Seventh-day Adventist Church,Carolina Conference
Lents Adventist Church,Oregon Conference
Leominster All Nations Seventh-day Adventist Church,Southern New England Conference
Leominster Seventh-day Adventist Church,Southern New England Conference
Leominster Spanish Seventh-day Adventist Church,Southern New England Conference
Les Trois Anges Seventh-day Adventist Company,Greater New York Conference
Lethbridge Seventh-day Adventist Church,Alberta Conference
Lethbridge Seventh-day Adventist Church,SDA Church in Newfoundland and Labrador
Lewis Seventh-day Adventist Church,Indiana Conference
Lewisburg Seventh-day Adventist Church (English),Mountain View Conference
Lewisburg Spanish Seventh-day Adventist Company,Mountain View Conference
Lewiston Adventist Church,Upper Columbia Conference
Lewistown Adventist Church,Montana Conference
Lewistown Seventh-day Adventist Church,Pennsylvania Conference
Lewistown Seventh-day Adventist Company,Iowa-Missouri Conference
Lewisville Seventh-day Adventist Church,Texas Conference
Lewisville Spanish Seventh-day Adventist Church,Texas Conference
Lexington - New Life Seventh-day Adventist Church,South Atlantic Conference
Lexington  Spanish Seventh-day Adventist Church,Carolina Conference
Lexington Bluegrass Connections Church,Kentucky-Tennessee Conference
Lexington Hispanic Church,Kentucky-Tennessee Conference
Lexington Hispanic Seventh-day Adventist Company,Kansas-Nebraska Conference
Lexington Seventh-day Adventist Church,Carolina Conference
Lexington Seventh-day Adventist Church,Kentucky-Tennessee Conference
"Lexington, TN Hispanic Seventh-day Adventist Mission Group",Kentucky-Tennessee Conference
Libby Adventist Church,Montana Conference
Liberal Hispanic Seventh-day Adventist Company,Kansas-Nebraska Conference
Liberal Seventh-day Adventist Church,Kansas-Nebraska Conference
Liberty Adventist Company,Ontario Conference
Liberty Mission Group,Potomac Conference
Liberty Mission Group,Carolina Conference
Liberty Seventh-day Adventist Church,Allegheny East Conference
Lieber Correctional Seventh-day Adventist Group,Carolina Conference
Life Adventist Church of Berkeley,Northern California Conference
Life Fellowship of Coral Springs,Florida Conference
Life in Christ Company,Chesapeake Conference
LifeBridge Adventist Church,Washington Conference
LifeHouse Ghanaian,Central States Conference
LifeHouse International Seventh-day Adventist Company,Central States Conference
LifeSource Adventist Fellowship,Rocky Mountain Conference
LifeSource Community Adventist Church,Upper Columbia Conference
LifeSpring Seventh-day Adventist Church,Florida Conference
Light Above Seventh-day Adventist Church,Southern California Conference
Light Bearers Mission Seventh-day Adventist Company,Potomac Conference
Light of Christ SDA,Minnesota Conference
Lighthouse Christian Fellowship,Washington Conference
Lighthouse Community Seventh-day Adventist Company,Florida Conference
Lighthouse Fellowship,Allegheny East Conference
Lighthouse Fellowship,Gulf States Conference
Lighthouse Fellowship Chur Fuquay Varina,Carolina Conference
Lighthouse Hispanic Seventh-day Adventist Church,Illinois Conference
Lighthouse of Hope Seventh-day Adventist Church,Manitoba-Saskatchewan Conference
Lighthouse Seventh-day Adventist Church,Southeastern Conference
Lighthouse Seventh-day Adventist Church,Central States Conference
Lighthouse Seventh-day Adventist Company,Alberta Conference
Lighthouse Seventh-day Adventist Company,Southern New England Conference
Lighthouse Seventh-day Adventist Company,Kentucky-Tennessee Conference
Lighthouse Tabernacle Seventh-day Adventist Church,Northeastern Conference
Lillington - Berean Seventh-day Adventist Church,South Atlantic Conference
Lily of the Valley Adventist Company,Ontario Conference
Lily of the Valley Seventh-day Adventist,Southeastern Conference
Lima Drive Hispanic Seventh-day Adventist Church,South Central Conference
Lima Drive Seventh-day Adventist Church (Lexington),South Central Conference
Lima Seventh-day Adventist Church,Ohio Conference
Limington Seventh-day Adventist Church,Northern New England Conference
Lincklaen Center Seventh-day Adventist Church,New York Conference
Lincoln Amazing Grace Seventh-day Adventist Church,Northern California Conference
Lincoln Capitol View Seventh-day Adventist Church,Kansas-Nebraska Conference
Lincoln City Seventh-day Adventist Church,Oregon Conference
Lincoln College View Seventh-day Adventist Church,Kansas-Nebraska Conference
Lincoln Heights Spanish Seventh-day Adventist Church,Southern California Conference
Lincoln Hispanic Seventh-day Adventist Church,Kansas-Nebraska Conference
Lincoln Korean Seventh-day Adventist Group,Southern New England Conference
Lincoln New Creation Community Church,Kansas-Nebraska Conference
